Jonathan Taylor,IND,RB,26,12,12,0,0,0,0,0,226,1282,5.67,15,40,35,304,8.69,2,1,0,17,1,NULL,
Christian McCaffrey,SFO,RB,29,13,13,0,1,0,0,0,237,849,3.58,8,107,85,806,9.48,5,2,0,13,NULL,NULL,
Jahmyr Gibbs,DET,RB,23,12,12,0,0,0,0,0,175,1019,5.82,10,59,51,397,7.78,3,0,0,13,NULL,NULL,
Bijan Robinson,ATL,RB,23,12,12,0,0,0,0,0,195,995,5.10,5,68,54,594,11.00,2,2,1,7,1,NULL,
De'Von Achane,MIA,RB,24,12,12,0,0,0,0,0,186,1034,5.56,6,72,54,370,6.85,4,1,0,10,NULL,NULL,
James Cook,BUF,RB,26,12,12,0,0,0,0,0,231,1228,5.32,8,29,27,236,8.74,1,4,2,9,NULL,NULL,
Jaxon Smith-Njigba,SEA,WR,23,12,12,0,0,0,0,0,6,37,6.17,0,111,82,1336,16.29,7,2,1,7,NULL,NULL,
George Pickens,DAL,WR,24,12,10,0,0,0,0,0,0,0,NULL,0,105,73,1142,15.64,8,3,0,8,1,NULL,
Josh Allen,BUF,QB,29,12,12,243,350,2832,19,10,78,409,5.24,11,0,0,0,NULL,0,5,2,11,NULL,NULL,
Patrick Mahomes,KAN,QB,30,12,12,285,441,3238,22,7,55,348,6.33,4,0,0,0,NULL,0,3,0,4,NULL,2,
Davante Adams,LAR,WR,33,12,12,0,0,0,0,0,0,0,NULL,0,99,52,689,13.25,14,0,0,14,NULL,NULL,
Trey McBride,ARI,TE,26,12,12,0,0,0,0,0,0,0,NULL,0,118,88,879,9.99,8,0,0,8,NULL,NULL,
Drake Maye,NWE,QB,23,13,13,276,386,3412,23,6,81,319,3.94,2,1,1,2,2.00,0,6,2,2,1,NULL,
Javonte Williams,DAL,RB,25,12,12,0,0,0,0,0,198,955,4.82,8,42,31,128,4.13,2,2,2,10,NULL,NULL,
Derrick Henry,BAL,RB,31,12,12,0,1,0,0,0,197,931,4.73,10,18,14,142,10.14,0,3,2,10,NULL,NULL,
Josh Jacobs,GNB,RB,27,11,11,0,0,0,0,0,186,731,3.93,11,36,29,245,8.45,0,2,1,11,NULL,NULL,
Kyren Williams,LAR,RB,25,12,12,0,0,0,0,0,183,868,4.74,7,33,24,184,7.67,3,2,2,10,NULL,NULL,
Amon-Ra St. Brown,DET,WR,26,12,12,0,0,0,0,0,3,9,3.00,0,108,75,884,11.79,9,1,0,9,NULL,NULL,
Jalen Hurts,PHI,QB,27,12,12,226,342,2514,19,2,84,329,3.92,8,0,0,0,NULL,0,6,3,8,NULL,NULL,
Rico Dowdle,CAR,RB,27,13,7,0,0,0,0,0,192,929,4.84,5,36,29,254,8.76,1,1,0,6,NULL,NULL,
Puka Nacua,LAR,WR,24,11,10,0,0,0,0,0,6,73,12.17,1,107,86,1019,11.85,4,1,1,5,NULL,NULL,
Dak Prescott,DAL,QB,32,12,12,303,437,3261,25,8,41,124,3.02,2,0,0,0,NULL,0,4,1,2,NULL,2,
Travis Etienne,JAX,RB,26,12,12,0,0,0,0,0,181,843,4.66,5,38,25,173,6.92,2,1,0,7,NULL,NULL,
Ja'Marr Chase,CIN,WR,25,11,11,0,0,0,0,0,2,6,3.00,0,131,86,971,11.29,5,1,1,5,NULL,NULL,
Matthew Stafford,LAR,QB,37,12,12,266,401,3073,32,4,25,-10,-0.40,0,0,0,0,NULL,0,6,3,0,NULL,NULL,
Breece Hall,NYJ,RB,24,12,12,1,1,4,1,0,187,834,4.46,3,39,30,309,10.30,1,2,2,4,NULL,NULL,
Tetairoa McMillan,CAR,WR,22,13,13,0,0,0,0,0,0,0,NULL,0,98,57,826,14.49,6,0,0,6,NULL,NULL,
Travis Kelce,KAN,TE,36,12,12,0,0,0,0,0,1,1,1.00,0,78,59,719,12.19,5,0,0,5,1,NULL,
Ashton Jeanty,LVR,RB,22,12,12,0,0,0,0,0,181,635,3.51,4,54,43,251,5.84,4,2,1,8,NULL,NULL,
Emeka Egbuka,TAM,WR,23,12,11,0,0,0,0,0,2,9,4.50,0,101,52,791,15.21,6,0,0,6,1,NULL,
Saquon Barkley,PHI,RB,28,12,12,0,0,0,0,0,198,740,3.74,4,43,35,259,7.40,2,1,1,6,NULL,NULL,
D'Andre Swift,CHI,RB,26,11,11,0,0,0,0,0,160,774,4.84,5,36,25,237,9.48,1,2,2,6,NULL,NULL,
Drake London,ATL,WR,24,9,9,0,0,0,0,0,0,0,NULL,0,94,60,810,13.50,6,1,1,6,1,NULL,
Daniel Jones,IND,QB,28,12,12,256,377,3041,19,7,44,160,3.64,5,0,0,0,NULL,0,9,3,5,NULL,1,
Tyler Warren,IND,TE,23,12,8,0,1,0,0,0,5,6,1.20,1,78,58,684,11.79,4,1,0,5,NULL,NULL,
Caleb Williams,CHI,QB,24,12,12,230,396,2722,17,5,61,306,5.02,3,2,2,22,11.00,1,6,1,4,NULL,NULL,
Quinshon Judkins,CLE,RB,22,11,11,0,0,0,0,0,196,758,3.87,7,23,17,88,5.18,0,0,0,7,1,NULL,
Nico Collins,HOU,WR,26,11,11,0,0,0,0,0,2,15,7.50,1,95,57,795,13.95,4,1,1,5,1,NULL,
Justin Herbert,LAC,QB,27,12,12,265,396,2842,21,10,57,353,6.19,1,0,0,0,NULL,0,2,1,1,1,NULL,
Jameson Williams,DET,WR,24,12,10,0,0,0,0,0,5,5,1.00,0,63,38,706,18.58,6,0,0,6,NULL,NULL,
Jaylen Waddle,MIA,WR,27,12,12,1,1,8,0,0,0,0,NULL,0,79,52,762,14.65,5,0,0,5,NULL,NULL,
Michael Pittman Jr.,IND,WR,28,12,11,0,0,0,0,0,0,0,NULL,0,82,60,620,10.33,7,0,0,7,1,NULL,
Chris Olave,NOR,WR,25,12,12,0,1,0,0,1,1,-3,-3.00,0,115,73,781,10.70,5,0,0,5,NULL,NULL,
A.J. Brown,PHI,WR,28,11,11,0,0,0,0,0,0,0,NULL,0,87,56,699,12.48,6,0,0,6,NULL,NULL,
Hunter Henry,NWE,TE,31,13,13,0,0,0,0,0,0,0,NULL,0,69,45,610,13.56,5,0,0,5,NULL,NULL,
Bo Nix,DEN,QB,25,12,12,266,432,2742,19,9,52,229,4.40,3,1,0,0,NULL,0,3,1,3,NULL,4,
Brock Bowers,LVR,TE,23,9,5,0,0,0,0,0,2,2,1.00,0,68,49,573,11.69,5,0,0,5,1,NULL,
Jake Ferguson,DAL,TE,26,12,7,0,0,0,0,0,1,1,1.00,0,83,70,496,7.09,7,2,1,7,NULL,NULL,
Courtland Sutton,DEN,WR,30,12,12,0,0,0,0,0,0,0,NULL,0,80,50,711,14.22,5,0,0,5,1,NULL,
Jared Goff,DET,QB,31,12,12,264,378,3025,25,5,13,46,3.54,0,0,0,0,NULL,0,3,2,0,NULL,NULL,
Chase Brown,CIN,RB,25,12,12,0,0,0,0,0,160,704,4.40,2,64,48,287,5.98,1,2,0,3,1,NULL,
Tee Higgins,CIN,WR,26,11,11,0,0,0,0,0,0,0,NULL,0,70,40,575,14.38,7,0,0,7,1,NULL,
Rome Odunze,CHI,WR,23,12,12,0,0,0,0,0,0,0,NULL,0,90,44,661,15.02,6,0,0,6,NULL,NULL,
Wan'Dale Robinson,NYG,WR,24,13,12,0,0,0,0,0,2,2,1.00,0,110,73,828,11.34,3,1,0,3,NULL,NULL,
Jaylen Warren,PIT,RB,27,11,10,0,0,0,0,0,151,639,4.23,4,32,27,228,8.44,1,0,0,5,NULL,NULL,
TreVeyon Henderson,NWE,RB,23,13,4,0,0,0,0,0,129,625,4.84,5,38,32,199,6.22,1,1,1,6,NULL,NULL,
Tucker Kraft,GNB,TE,25,8,8,0,0,0,0,0,1,3,3.00,0,44,32,489,15.28,6,0,0,6,NULL,NULL,
DeVonta Smith,PHI,WR,27,12,12,0,0,0,0,0,0,0,NULL,0,86,60,802,13.37,3,0,0,3,NULL,NULL,
