Player,Pos,Opp,Pts,Pass_Att,Cmp,Pass_Yds,Pass_TD,Int,Pass_2Pt,Rush_Att,Rush_Yds,Rush_TD,Rush_2Pt,Rec,Rec_Yds,Rec_TD,Rec_2Pt,FL,TD,Week,
Josh Allen,QB,vs BAL,42.00,46,33,394,2,0,0,14,30,2,0,0,0,0,0,0,0,1,
Justin Herbert,QB,vs KC,33.00,34,25,318,3,0,0,7,32,0,0,0,0,0,0,0,0,1,
Lamar Jackson,QB,@ BUF,33.00,19,14,209,2,0,0,6,70,1,0,0,0,0,0,0,0,1,
Aaron Rodgers,QB,@ NYJ,33.00,30,22,244,4,0,0,1,-1,0,0,0,0,0,0,0,0,1,
Justin Fields,QB,vs PIT,30.00,22,16,218,1,0,0,12,48,2,0,0,0,0,0,0,0,1,
Daniel Jones,QB,vs MIA,30.00,29,22,272,1,0,0,7,26,2,0,0,0,0,0,0,0,1,
Derrick Henry,RB,@ BUF,29.00,0,0,0,0,0,0,18,169,2,0,1,13,0,0,1,0,1,
Zay Flowers,WR,@ BUF,27.00,0,0,0,0,0,0,2,8,0,0,7,143,1,0,0,0,1,
Patrick Mahomes,QB,@ LAC,27.00,39,24,258,1,0,0,6,57,1,0,0,0,0,0,0,0,1,
Baker Mayfield,QB,@ ATL,27.00,32,17,167,3,0,0,5,39,0,0,0,0,0,0,0,0,1,
Keon Coleman,WR,vs BAL,25.00,0,0,0,0,0,0,0,0,0,0,8,112,1,0,0,0,1,
J.J. McCarthy,QB,@ CHI,25.00,20,13,143,2,1,1,2,25,1,0,0,0,0,0,0,0,1,
Michael Penix,QB,vs TB,25.00,42,27,298,1,0,0,6,21,1,0,0,0,0,0,0,0,1,
Caleb Williams,QB,vs MIN,25.00,35,21,210,1,0,0,6,58,1,0,0,0,0,0,0,0,1,
Jalen Hurts,QB,vs DAL,24.00,23,19,152,0,0,0,14,62,2,0,0,0,0,0,0,0,1,
Quentin Johnston,WR,vs KC,24.00,0,0,0,0,0,0,0,0,0,0,5,79,2,0,0,0,1,
Bijan Robinson,RB,vs TB,24.00,0,0,0,0,0,0,12,24,0,0,6,100,1,0,0,0,1,
Puka Nacua,WR,vs HOU,23.00,0,0,0,0,0,0,1,1,0,0,10,130,0,0,0,0,1,
